Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passangers,Fatalities Crew,Ground
2000-03-30,,"Near Anuradhapura, Sri Lanka",Military - Sri Lankan Air Force,,Jaffna/Palaly AFB - Anuradhapura AFB,Antonov An-26,40.0,36.0,4.0,40.0,36.0,4.0,0.0
2000-04-19,,"Pepa ,Congo",Military - Centrafricain Airlines,,"Pepa, Congo - Kigali, Rwanda",Antonov AN-8,24.0,20.0,4.0,24.0,20.0,4.0,0.0
2000-06-27,,"Off Shimano, Japan",Military - Japanese Air Self-Defence Force,,Training,Kawasaki C-1A,5.0,0.0,5.0,5.0,0.0,5.0,0.0
2000-07-02,10:50,"Off Cagayancillo, Philippines",Military - Philippine Air Force,,Cagayancillo - Puerto Princesa,GAF Nomad N-22C,15.0,11.0,4.0,14.0,10.0,4.0,0.0
2000-08-06,15:55,"Puerto Montt, Chile",Military - Fuerza Aérea de Chile,-,Santiago - Coihaique,Casa 212-AB10 Aviocar,14.0,10.0,4.0,14.0,10.0,4.0,0.0
2000-09-02,,"Mount Montezuma, Colombia",Military - Fuerza Aérea Colombiana,,,Douglas C-47,7.0,0.0,7.0,7.0,0.0,7.0,0.0
2000-09-16,09:25,"Kumarapura, Sri Lanka",Military - Sri Lanka Air Force,,Colombo - Kalmunai,Mil Mi-17,14.0,12.0,2.0,14.0,12.0,2.0,0.0
2000-10-25,18:15,"Near Batumi, Republic of Georgia",Military - Russian Air Force,,Moscow - Batumi,Ilyushin IL-18D,86.0,75.0,11.0,86.0,75.0,11.0,0.0
2001-01-04,,"Zheng Zou AB, China",Military - People's Liberation Army,,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16.0,0.0,16.0,16.0,0.0,16.0,6.0
2001-01-08,,"Near Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,,Timika - Jayapura,CASA 212-MP Aviocar 200,9.0,0.0,9.0,9.0,0.0,9.0,0.0
2001-03-03,09:55,"Unadilla, Georgia",Military - Florida Army National Guard,,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA",Short 360,21.0,18.0,3.0,21.0,18.0,3.0,0.0
2001-05-16,13:15,"Malatya, Turkey",Military - Turkish Air Force,,Diyarbakir - Ankara,CASA CN-235M-10,34.0,28.0,6.0,34.0,28.0,6.0,0.0
2001-05-22,16:35,"Near Myakotino, Russia",Military - Russian Air Force,,Rzhevsk - Morsansk,Antonov 12MGA,7.0,0.0,7.0,7.0,0.0,7.0,0.0
2001-12-01,01:43,"Near Novaya Inya , Russia","Military - Russian, cargo",-,Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,18.0,9.0,9.0,18.0,9.0,9.0,0.0
2002-01-09,,"Shamsi AFB, Pakistan",Military - U.S. Air Force,,Jacobabad - Shamsi,Lockheed Hercules KC-130R,7.0,0.0,7.0,7.0,0.0,7.0,0.0
2002-01-27,,"Near Luena, Angola",Military - Angolan  Air Force,-,,Antonov AN-12,40.0,34.0,6.0,5.0,3.0,2.0,0.0
2002-02-21,20:44,"Lakhta, Russia",Military - Russian Navy,,Sanofov - Lakhta,Antonov AN-26,20.0,12.0,8.0,17.0,12.0,5.0,0.0
2002-02-22,02:30,"Off Dumaguete, Philippines",Military - U.S. Army,,Basilan - Mactan Island,MH-47 Chinook helicopter,10.0,4.0,6.0,10.0,4.0,6.0,0.0
2002-06-02,,"Near Ndalatando, Angola",Military - Angolan Armed Forces,,Luanda - demobilization camp,Mi-17,25.0,23.0,2.0,20.0,18.0,2.0,0.0
2002-06-12,21:24,"Near Gardez, Afghanistan",Military - U.S. Air Force,,,Lockheed MC-130H Hercules,10.0,2.0,8.0,3.0,0.0,3.0,0.0
